title,listed_in,description,new_description,cluster_id,,,
Dick Johnson Is Dead,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",as her father nears the end of his life filmmaker kirsten johnson stages his death in inventive and comical ways to help them both face the inevitable,11,,,
My Little Pony: A New Generation,Children & Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals â€” and, hoof to heart, sheâ€™s determined to prove it.",equestria s divided but a bright eyed hero believes earth ponies pegasi and unicorns should be pals â€” and hoof to heart sheâ€™s determined to prove it,7,,,
Sankofa,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",on a photo shoot in ghana an american model slips back in time becomes enslaved on a plantation and bears witness to the agony of her ancestral past,5,,,
The Starling,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden â€” and a husband who's struggling to find a way forward.,a woman adjusting to life after a loss contends with a feisty bird that s taken over her garden â€” and a husband who s struggling to find a way forward,11,,,
Je Suis Karl,"Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",after most of her family is murdered in a terrorist bombing a young woman is unknowingly lured into joining the very group that killed them,22,,,
Confessions of an Invisible Girl,"Children & Family Movies, Comedies","When the clever but socially-awkward TetÃª joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",when the clever but socially awkward tetÃª joins a new school she ll do anything to fit in but the queen bee among her classmates has other ideas,24,,,
Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",declassified documents reveal the post wwii life of otto skorzeny a close hitler ally who escaped to spain and became an adviser to world presidents,10,,,
Intrusion,Thrillers,"After a deadly home invasion at a coupleâ€™s new dream house, the traumatized wife searches for answers â€” and learns the real danger is just beginning.",after a deadly home invasion at a coupleâ€™s new dream house the traumatized wife searches for answers â€” and learns the real danger is just beginning,21,,,
Avvai Shanmughi,"Comedies, International Movies","Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",newly divorced and denied visitation rights with his daughter a doting father disguises himself as a gray haired nanny in order to spend time with her,23,,,
Go! Go! Cory Carson: Chrissy Takes the Wheel,Children & Family Movies,"From arcade games to sled days and hiccup cures, Cory Carsonâ€™s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",from arcade games to sled days and hiccup cures cory carsonâ€™s curious little sister chrissy speeds off on her own for fun and adventure all over town,18,,,
Jeans,"Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",when the father of the man she loves insists that his twin sons marry twin sisters a woman creates an alter ego that might be a bit too convincing,11,,,
Minsara Kanavu,"Comedies, International Movies, Music & Musicals",A tangled love triangle ensues when a man falls for a woman studying to become a nun â€” and she falls for the friend he enlists to help him pursue her.,a tangled love triangle ensues when a man falls for a woman studying to become a nun â€” and she falls for the friend he enlists to help him pursue her,14,,,
Grown Ups,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",mourning the loss of their beloved junior high basketball coach five middle aged pals reunite at a lake house and rediscover the joys of being a kid,5,,,
Dark Skies,"Horror Movies, Sci-Fi & Fantasy","A familyâ€™s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",a familyâ€™s idyllic suburban life shatters when an alien force invades their home and as they struggle to convince others of the deadly threat,9,,,
Paranoia,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",blackmailed by his company s ceo a low level employee finds himself forced to spy on the boss s rival and former mentor,22,,,
Ankahi Kahaniya,"Dramas, Independent Movies, International Movies","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",as big city life buzzes around them lonely souls discover surprising sources of connection and companionship in three tales of love loss and longing,16,,,
The Father Who Moves Mountains,"Dramas, International Movies, Thrillers","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing â€” and risk everything â€” to find him.",when his son goes missing during a snowy hike in the mountains a retired intelligence officer will stop at nothing â€” and risk everything â€” to find him,7,,,
The Stronghold,"Action & Adventure, Dramas, International Movies","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",tired of the small time grind three marseille cops get a chance to bust a major drug network but lines blur when a key informant makes a big ask,22,,,
Birth of the Dragon,"Action & Adventure, Dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",a young bruce lee angers kung fu traditionalists by teaching outsiders leading to a showdown with a shaolin master in this film based on real events,5,,,
